pid,label,object_type
obj1,Michael Field Visualization,main visualization
obj2,Katharine Harris Bradley wreath,letter writer wreath
obj3,Edith Emma Cooper wreath,letter writer wreath
obj4,Michael Field wreath,letter writer wreath
obj5,Amy Katharine Cooper wreath,letter writer wreath
obj6,A.S. Murray wreath,letter writer wreath
obj7,Unknown wreath,letter writer wreath
obj8,LG wreath,letter writer wreath
obj9,Sarianna Browning wreath,letter writer wreath
obj10,Verina ???? wreath,letter writer wreath
obj11,Randall Thor Alderton wreath,letter writer wreath
obj12,Francis Brooks wreath,letter writer wreath
obj13,Gordon Bottomley wreath,letter writer wreath
obj14,Harrich ???? wreath,letter writer wreath
obj15,Lisa ???? wreath,letter writer wreath
obj16,Rev. John Gray wreath,letter writer wreath
obj17,???? Doubleday wreath,letter writer wreath
obj18,Rev. Vincent M. Nabb wreath,letter writer wreath
obj19,Emily and Gordon Bottomley wreath,letter writer wreath
obj20,W. Greene wreath,letter writer wreath
obj21,Sir William Rothenstein wreath,letter writer wreath
obj22,Emily Comber Fortey wreath,letter writer wreath
obj23,Charles de Sousy Ricketts wreath,letter writer wreath
obj24,Mary Pearsall Costelloe wreath,letter writer wreath
obj25,Flower Dictionary for Main Visualization,flower dictionary
